Sample	Unique Reads	Duplicate Reads
SRR8668755_10K_subsample	8702.0	1298.0
SRR8668756_10K_subsample	9319.0	681.0
SRR8668757_10K_subsample	9178.0	822.0
SRR8668758_10K_subsample	9218.0	782.0
SRR8668759_10K_subsample	7910.0	2090.0
SRR8668769_10K_subsample	8775.0	1225.0
SRR8668771_10K_subsample	8649.0	1351.0
SRR8668772_10K_subsample	8843.0	1157.0
SRR8668773_10K_subsample	9116.0	884.0
SRR8668774_10K_subsample	9118.0	882.0
fastqc | SRR8668755	30668580.0	59252773.0
fastqc | SRR8668755_1M_subsample	650182.0	349818.0
fastqc | SRR8668756	34590747.0	49893108.0
fastqc | SRR8668757	41590044.0	53520115.0
fastqc | SRR8668758	15461668.0	14699911.0
fastqc | SRR8668759	2617823.0	2705979.0
fastqc | SRR8668769	26657085.0	67594447.0
fastqc | SRR8668771	23319461.0	41117076.0
fastqc | SRR8668772	25653140.0	42526766.0
fastqc | SRR8668773	26430662.0	43549461.0
fastqc | SRR8668774	54094756.0	79293178.0
