Sample	Pseudoaligned	Not aligned
SRR8668755_10K_subsample	5419.0	4581.0
SRR8668756_10K_subsample	6983.0	3017.0
SRR8668757_10K_subsample	4939.0	5061.0
SRR8668758_10K_subsample	6329.0	3671.0
SRR8668759_10K_subsample	4869.0	5131.0
SRR8668769_10K_subsample	6813.0	3187.0
SRR8668771_10K_subsample	5303.0	4697.0
SRR8668772_10K_subsample	5528.0	4472.0
SRR8668773_10K_subsample	6545.0	3455.0
SRR8668774_10K_subsample	5918.0	4082.0
kallisto | SRR8668755	48035645.0	41885708.0
kallisto | SRR8668756	59016774.0	25467081.0
kallisto | SRR8668757	47116510.0	47993649.0
kallisto | SRR8668758	19002574.0	11159005.0
kallisto | SRR8668759	2616933.0	2706869.0
kallisto | SRR8668769	64607619.0	29643913.0
kallisto | SRR8668771	34028363.0	30408174.0
kallisto | SRR8668772	37578853.0	30601053.0
kallisto | SRR8668773	46389988.0	23590135.0
kallisto | SRR8668774	79700566.0	53687368.0
mappedReads | SRR8668755	48035645.0	41885708.0
mappedReads | SRR8668756	59016774.0	25467081.0
mappedReads | SRR8668757	47116510.0	47993649.0
mappedReads | SRR8668758	19002574.0	11159005.0
mappedReads | SRR8668759	2616933.0	2706869.0
mappedReads | SRR8668769	64607619.0	29643913.0
mappedReads | SRR8668771	34028363.0	30408174.0
mappedReads | SRR8668772	37578853.0	30601053.0
mappedReads | SRR8668773	46389988.0	23590135.0
mappedReads | SRR8668774	79700566.0	53687368.0
