Sample	kallisto-percent_aligned	kallisto-pseudoaligned_reads	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8668755_10K_subsample	54.190000000000005	0.005418999999999999	12.989999999999995	50.0	74.4869	75	10.0	0.01
SRR8668756_10K_subsample	69.83	0.006983	6.810000000000002	48.0	74.3183	75	10.0	0.01
SRR8668757_10K_subsample	49.39	0.004939	8.219999999999999	47.0	74.4711	75	10.0	0.01
SRR8668758_10K_subsample	63.29	0.0063289999999999996	7.829999999999998	49.0	72.7371	75	10.0	0.01
SRR8668759_10K_subsample	48.69	0.004869	20.909999999999997	57.0	72.7883	75	30.0	0.01
SRR8668769_10K_subsample	68.13	0.006813	12.25	53.0	74.4802	75	20.0	0.01
SRR8668771_10K_subsample	53.03	0.0053029999999999996	13.510000000000005	52.0	74.5171	75	20.0	0.01
SRR8668772_10K_subsample	55.279999999999994	0.005528	11.579999999999998	50.0	74.479	75	20.0	0.01
SRR8668773_10K_subsample	65.45	0.006545	8.840000000000003	50.0	74.4618	75	20.0	0.01
SRR8668774_10K_subsample	59.18	0.005918	8.829999999999998	49.0	73.8314	75	20.0	0.01
fastqc | SRR8668755			65.89399718245215	50.0	74.47977032774406	75	30.0	89.921353
fastqc | SRR8668755_1M_subsample			34.98187394271703	50.0	74.479287	75	20.0	1.0
fastqc | SRR8668756			59.05638296198224	48.0	74.27136176491946	75	20.0	84.48385499999999
fastqc | SRR8668757			56.27171289620192	47.0	74.47828267220119	75	20.0	95.110159
fastqc | SRR8668758			48.73720826058155	49.0	72.73567113313266	75	10.0	30.161579
fastqc | SRR8668759			50.82794296566836	57.0	72.67510869111962	75	40.0	5.323802
fastqc | SRR8668769			71.71708122692716	53.0	74.49919337120164	75	30.0	94.251532
fastqc | SRR8668771			63.81019030990686	52.0	74.51151436024564	75	30.0	64.436537
fastqc | SRR8668772			62.37434087264336	50.0	74.46793996753237	75	30.0	68.179906
fastqc | SRR8668773			62.23118774864832	50.0	74.46369312611812	75	30.0	69.98012299999999
fastqc | SRR8668774			59.44554091232145	49.0	73.84977352599223	75	30.0	133.387934
kallisto | SRR8668755	53.419619920532114	48.035644999999995						
kallisto | SRR8668756	69.85568307696187	59.016774						
kallisto | SRR8668757	49.53888259192165	47.11651						
kallisto | SRR8668758	63.00258351858833	19.002574						
kallisto | SRR8668759	49.15534048786938	2.616933						
kallisto | SRR8668769	68.5480836534307	64.607619						
kallisto | SRR8668771	52.80911201047319	34.028363						
kallisto | SRR8668772	55.11719684682463	37.578852999999995						
kallisto | SRR8668773	66.29023501430542	46.389987999999995						
kallisto | SRR8668774	59.75095618468759	79.700566						
mappedReads | SRR8668755	53.419619920532114	48.035644999999995						
mappedReads | SRR8668756	69.85568307696187	59.016774						
mappedReads | SRR8668757	49.53888259192165	47.11651						
mappedReads | SRR8668758	63.00258351858833	19.002574						
mappedReads | SRR8668759	49.15534048786938	2.616933						
mappedReads | SRR8668769	68.5480836534307	64.607619						
mappedReads | SRR8668771	52.80911201047319	34.028363						
mappedReads | SRR8668772	55.11719684682463	37.578852999999995						
mappedReads | SRR8668773	66.29023501430542	46.389987999999995						
mappedReads | SRR8668774	59.75095618468759	79.700566						
