Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SRR8668755_10K_subsample	10000.0	5419.0	4581.0	54.190000000000005
SRR8668756_10K_subsample	10000.0	6983.0	3017.0	69.83
SRR8668757_10K_subsample	10000.0	4939.0	5061.0	49.39
SRR8668758_10K_subsample	10000.0	6329.0	3671.0	63.29
SRR8668759_10K_subsample	10000.0	4869.0	5131.0	48.69
SRR8668769_10K_subsample	10000.0	6813.0	3187.0	68.13
SRR8668771_10K_subsample	10000.0	5303.0	4697.0	53.03
SRR8668772_10K_subsample	10000.0	5528.0	4472.0	55.279999999999994
SRR8668773_10K_subsample	10000.0	6545.0	3455.0	65.45
SRR8668774_10K_subsample	10000.0	5918.0	4082.0	59.18
kallisto | SRR8668755	89921353.0	48035645.0	41885708.0	53.419619920532114
kallisto | SRR8668756	84483855.0	59016774.0	25467081.0	69.85568307696187
kallisto | SRR8668757	95110159.0	47116510.0	47993649.0	49.53888259192165
kallisto | SRR8668758	30161579.0	19002574.0	11159005.0	63.00258351858833
kallisto | SRR8668759	5323802.0	2616933.0	2706869.0	49.15534048786938
kallisto | SRR8668769	94251532.0	64607619.0	29643913.0	68.5480836534307
kallisto | SRR8668771	64436537.0	34028363.0	30408174.0	52.80911201047319
kallisto | SRR8668772	68179906.0	37578853.0	30601053.0	55.11719684682463
kallisto | SRR8668773	69980123.0	46389988.0	23590135.0	66.29023501430542
kallisto | SRR8668774	133387934.0	79700566.0	53687368.0	59.75095618468759
mappedReads | SRR8668755	89921353.0	48035645.0	41885708.0	53.419619920532114
mappedReads | SRR8668756	84483855.0	59016774.0	25467081.0	69.85568307696187
mappedReads | SRR8668757	95110159.0	47116510.0	47993649.0	49.53888259192165
mappedReads | SRR8668758	30161579.0	19002574.0	11159005.0	63.00258351858833
mappedReads | SRR8668759	5323802.0	2616933.0	2706869.0	49.15534048786938
mappedReads | SRR8668769	94251532.0	64607619.0	29643913.0	68.5480836534307
mappedReads | SRR8668771	64436537.0	34028363.0	30408174.0	52.80911201047319
mappedReads | SRR8668772	68179906.0	37578853.0	30601053.0	55.11719684682463
mappedReads | SRR8668773	69980123.0	46389988.0	23590135.0	66.29023501430542
mappedReads | SRR8668774	133387934.0	79700566.0	53687368.0	59.75095618468759
